date,sales
2025-01-01,12500
2025-01-02,13800
2025-01-03,14200
2025-01-04,15100
2025-01-05,14900
2025-01-06,11800
2025-01-07,11200
2025-01-08,12900
2025-01-09,14100
2025-01-10,15800
2025-01-11,16500
2025-01-12,17200
2025-01-13,13900
2025-01-14,12500
2025-01-15,13100
2025-01-16,14300
2025-01-17,15600
2025-01-18,16800
2025-01-19,17500
2025-01-20,18200
2025-01-21,15900
2025-01-22,14200
2025-01-23,13500
2025-01-24,14800
2025-01-25,16200
2025-01-26,17100
2025-01-27,18400
2025-01-28,19200
2025-01-29,17800
2025-01-30,16500
2025-01-31,15200
2025-02-01,16100
2025-02-02,17300
2025-02-03,18500
2025-02-04,19800
2025-02-05,20500
2025-02-06,18900
2025-02-07,17200
2025-02-08,15800
2025-02-09,14900
2025-02-10,16200
2025-02-11,17800
2025-02-12,19100
2025-02-13,20300
2025-02-14,21500
2025-02-15,19700
2025-02-16,18200
2025-02-17,16800
2025-02-18,17500
2025-02-19,18900
2025-02-20,20100
2025-02-21,21300
2025-02-22,19800
2025-02-23,18500
2025-02-24,17200
2025-02-25,16800
2025-02-26,17900
2025-02-27,19200
2025-02-28,20500
2025-03-01,21800
2025-03-02,23100
2025-03-03,24500
2025-03-04,25800
2025-03-05,24200
2025-03-06,22900
2025-03-07,21500
2025-03-08,20100
2025-03-09,18800
2025-03-10,20200
2025-03-11,21900
2025-03-12,23500
2025-03-13,25100
2025-03-14,26700
2025-03-15,24900
2025-03-16,23400
2025-03-17,21800
2025-03-18,20500
2025-03-19,22100
2025-03-20,23800
2025-03-21,25500
2025-03-22,27200
2025-03-23,25800
2025-03-24,24500
2025-03-25,23200
2025-03-26,24800
2025-03-27,26500
2025-03-28,28200
2025-03-29,29900
2025-03-30,28500
2025-03-31,27100
2025-04-01,25800
2025-04-02,27200
2025-04-03,28900
2025-04-04,30600
2025-04-05,32300
2025-04-06,30800
2025-04-07,29400
2025-04-08,27900
2025-04-09,26500
2025-04-10,28100
2025-04-11,29800
2025-04-12,31500
2025-04-13,33200
2025-04-14,34800
2025-04-15,33400
2025-04-16,31900
2025-04-17,30500
2025-04-18,29100
2025-04-19,30700
2025-04-20,32400
2025-04-21,34100
2025-04-22,35800
2025-04-23,37500
2025-04-24,36200
2025-04-25,34800
2025-04-26,36500
2025-04-27,38200
2025-04-28,39900
2025-04-29,41500
2025-04-30,40100
