date,gender,age,address,famsize,Pstatus,M_Edu,F_Edu,M_Job,F_Job,relationship,smoker,tuition_fee,time_friends,ssc_result,hsc_result
29/04/2018,M,18.0,Rural,GT3,Together,3,2,At_home,Farmer,No,No,71672.0,4,4.22,3.72
29/04/2018,F,19.0,Rural,LE3,Apart,0,4,Other,Health,Yes,No,26085.0,5,3.47,2.62
29/04/2018,F,19.0,Rural,GT3,Together,0,3,Teacher,Services,No,No,40891.0,3,3.32,2.56
29/04/2018,F,19.0,Rural,LE3,Apart,2,3,At_home,Business,No,No,50600.0,2,4.57,4.17
29/04/2018,M,17.0,Rural,GT3,Together,1,1,At_home,Farmer,No,No,62458.0,2,4.5,3.94
29/04/2018,M,18.0,Rural,GT3,Together,2,4,At_home,Farmer,No,Yes,43645.0,2,4.09,3.65
29/04/2018,M,18.0,Urban,GT3,Together,1,0,Teacher,Teacher,No,No,111578.0,1,3.46,2.99
29/04/2018,F,18.0,Rural,GT3,Together,2,1,Services,Teacher,Yes,No,76596.0,3,4.51,3.92
29/04/2018,F,17.0,Rural,GT3,Together,2,3,Other,Teacher,Yes,Yes,39874.0,3,3.26,2.59
29/04/2018,F,17.0,Rural,LE3,Together,2,2,Health,Health,No,No,48767.0,3,4.72,4.25
29/04/2018,M,18.0,Urban,GT3,Together,2,4,Health,Business,No,No,101825.0,3,4.86,4.4
29/04/2018,F,17.0,Rural,LE3,Apart,2,0,Other,Health,Yes,No,45913.0,3,4.57,3.71
29/04/2018,F,18.0,Rural,GT3,Together,1,4,Teacher,Business,No,No,46215.0,4,4.02,3.36
29/04/2018,M,17.0,Urban,LE3,Together,0,3,Health,Farmer,No,No,83733.0,3,2.14,2.08
29/04/2018,M,19.0,Rural,GT3,Together,0,2,At_home,Health,No,No,,3,3.68,2.9
29/04/2018,M,19.0,Rural,GT3,Together,2,0,Health,Health,No,No,39432.0,1,4.95,4.25
29/04/2018,M,18.0,Rural,LE3,Together,1,1,Other,Health,No,No,52559.0,1,4.41,3.94
29/04/2018,M,17.0,Rural,GT3,Apart,2,4,At_home,Services,Yes,No,61570.0,3,4.08,3.43
29/04/2018,M,17.0,Rural,GT3,Together,1,2,Health,Business,No,No,70033.0,4,3.36,2.77
29/04/2018,M,19.0,Rural,GT3,Together,2,3,Other,Business,No,No,41103.0,3,4.47,3.78
29/04/2018,F,19.0,Rural,GT3,Together,3,4,Teacher,Health,No,No,83780.0,3,2.78,2.49
29/04/2018,M,17.0,Urban,GT3,Together,1,1,Other,Services,No,No,85900.0,3,3.69,3.04
29/04/2018,M,17.0,Urban,LE3,Together,1,2,Teacher,Health,No,No,72031.0,5,4.93,4.42
29/04/2018,M,17.0,Rural,GT3,Together,0,3,At_home,Business,Yes,No,42633.0,4,3.28,2.63
29/04/2018,M,17.0,Urban,GT3,Together,2,1,Other,Farmer,Yes,No,98192.0,2,4.2,3.49
29/04/2018,F,17.0,Rural,GT3,Together,2,1,Services,Services,No,No,54940.0,3,2.66,2.12
29/04/2018,M,17.0,Rural,GT3,Together,1,2,Services,Services,Yes,No,71287.0,2,3.38,2.75
29/04/2018,M,18.0,Rural,GT3,Together,2,2,Services,Health,No,No,43988.0,4,3.92,3.18
29/04/2018,F,17.0,Rural,LE3,Together,0,3,Services,Farmer,No,No,63067.0,3,4.03,3.51
29/04/2018,M,19.0,Rural,GT3,Apart,2,0,Services,Business,No,No,47952.0,2,5.0,4.37
29/04/2018,F,18.0,Rural,LE3,Together,2,4,Teacher,Teacher,No,No,62369.0,2,3.47,3.05
29/04/2018,M,17.0,Rural,GT3,Together,3,0,Other,Business,Yes,No,75862.0,4,4.19,3.16
29/04/2018,M,19.0,Urban,GT3,Together,0,3,,Business,No,No,67977.0,3,4.17,3.42
29/04/2018,F,18.0,Rural,GT3,Together,3,2,Services,Farmer,No,No,78493.0,5,3.42,2.75
29/04/2018,F,19.0,Rural,GT3,Together,3,1,Services,Services,No,No,41268.0,4,4.42,3.66
29/04/2018,F,17.0,Rural,GT3,Together,1,1,At_home,Business,Yes,No,46756.0,5,4.23,3.12
29/04/2018,M,17.0,Rural,GT3,Together,1,3,At_home,Services,No,No,50764.0,3,3.62,3.2
29/04/2018,M,17.0,Urban,LE3,Together,2,4,Services,Farmer,No,No,115385.0,2,3.93,3.44
29/04/2018,F,17.0,Rural,GT3,Together,3,1,Teacher,Farmer,No,No,55032.0,4,3.18,2.56
29/04/2018,M,18.0,Rural,LE3,Apart,3,2,At_home,Health,No,No,69478.0,4,3.22,2.79
29/04/2018,M,18.0,Rural,GT3,Apart,2,2,Other,Teacher,No,No,46885.0,4,3.79,3.4
29/04/2018,M,19.0,Rural,LE3,Together,3,0,Other,Farmer,No,No,49796.0,1,4.29,3.66
29/04/2018,M,17.0,Rural,LE3,Apart,0,3,Teacher,Farmer,Yes,Yes,64047.0,3,3.58,2.8
29/04/2018,F,19.0,Rural,GT3,Apart,0,4,Health,Services,No,No,57863.0,1,3.4,2.9
29/04/2018,M,18.0,Rural,LE3,Together,4,2,Teacher,Farmer,No,Yes,60478.0,4,3.65,3.18
29/04/2018,F,17.0,Rural,GT3,Together,3,4,,Business,No,No,72117.0,4,4.34,3.84
29/04/2018,M,17.0,Rural,LE3,Together,2,0,Health,Health,No,No,55753.0,5,2.92,2.26
29/04/2018,M,18.0,Urban,GT3,Apart,3,3,Services,Health,Yes,No,100325.0,1,4.36,3.68
29/04/2018,M,18.0,Rural,GT3,Together,4,2,Other,Business,No,No,52021.0,2,4.13,3.69
29/04/2018,M,18.0,Rural,LE3,Together,3,2,At_home,Farmer,Yes,No,55185.0,3,2.92,2.44
29/04/2018,F,18.0,Urban,GT3,Together,3,2,Services,Teacher,No,No,85868.0,2,3.65,3.37
29/04/2018,F,18.0,Urban,GT3,Together,3,1,Other,Farmer,No,No,93071.0,2,4.21,3.55
29/04/2018,F,17.0,Rural,LE3,Together,1,3,Teacher,Health,Yes,No,38041.0,3,2.56,2.11
29/04/2018,F,18.0,Rural,GT3,Together,3,3,Services,Teacher,No,No,56515.0,4,3.13,2.67
29/04/2018,F,17.0,Rural,GT3,Apart,1,1,Other,Services,No,No,74075.0,5,2.81,2.0
29/04/2018,F,17.0,Rural,GT3,Together,3,4,At_home,Services,No,No,80058.0,4,3.42,3.13
29/04/2018,M,18.0,Urban,GT3,Together,2,2,Services,Farmer,Yes,No,100966.0,4,4.47,3.61
29/04/2018,M,18.0,Urban,LE3,Together,2,3,Other,Farmer,No,No,114284.0,1,4.32,3.88
29/04/2018,M,17.0,Urban,GT3,Together,2,1,Services,Teacher,Yes,No,117109.0,2,3.47,2.91
29/04/2018,M,18.0,Urban,GT3,Together,0,1,At_home,Teacher,Yes,Yes,109470.0,2,4.47,3.64
29/04/2018,M,18.0,Urban,GT3,Apart,1,2,Services,Farmer,No,No,92290.0,2,4.23,3.48
29/04/2018,M,18.0,Rural,LE3,Together,4,2,Services,Health,Yes,No,75702.0,5,4.63,4.06
29/04/2018,F,19.0,Rural,GT3,Together,4,3,Other,Services,No,Yes,73223.0,5,3.74,3.22
29/04/2018,M,17.0,Urban,GT3,Apart,1,2,Health,Teacher,No,Yes,103575.0,5,4.15,3.15
29/04/2018,M,19.0,Urban,LE3,Apart,4,0,Services,Health,No,No,129168.0,3,5.0,4.68
29/04/2018,M,18.0,Rural,GT3,Together,3,2,Health,Farmer,No,No,61661.0,5,3.6,2.91
29/04/2018,M,19.0,Urban,GT3,Together,2,3,Teacher,Business,No,No,91439.0,1,3.76,3.46
29/04/2018,F,18.0,Rural,GT3,Together,0,3,Services,Teacher,Yes,No,61432.0,1,3.7,3.01
29/04/2018,M,19.0,Rural,GT3,Together,4,1,Health,Business,No,No,78511.0,4,3.74,3.08
29/04/2018,F,18.0,Rural,GT3,Together,2,0,Teacher,Health,No,No,66147.0,4,4.16,3.37
29/04/2018,F,19.0,Urban,GT3,Together,3,3,Other,Services,No,No,109114.0,4,3.84,3.52
29/04/2018,M,19.0,Urban,LE3,Together,3,1,Services,Health,Yes,No,86030.0,4,2.91,2.49
29/04/2018,M,19.0,Rural,GT3,Together,3,0,Other,Services,No,No,64515.0,1,3.81,3.23
29/04/2018,F,17.0,Rural,LE3,Together,2,0,Teacher,Health,No,No,65333.0,4,3.46,2.93
29/04/2018,F,19.0,Rural,GT3,Together,1,2,Other,Teacher,No,Yes,30079.0,1,2.68,2.34
29/04/2018,F,17.0,Urban,LE3,Together,1,2,Other,Teacher,No,No,99048.0,5,4.54,4.17
29/04/2018,F,18.0,Rural,LE3,Together,1,3,At_home,Business,No,No,74900.0,5,3.45,2.93
29/04/2018,M,19.0,Rural,GT3,Together,0,1,Teacher,Health,No,No,27966.0,3,4.05,3.34
29/04/2018,M,18.0,Rural,GT3,Together,2,3,Other,Health,No,No,38728.0,4,2.0,2.0
29/04/2018,M,18.0,Urban,GT3,Together,2,1,Health,Business,No,No,112304.0,5,4.12,3.4
29/04/2018,F,19.0,Urban,LE3,Together,3,4,Teacher,Farmer,Yes,No,118581.0,5,3.6,2.95
29/04/2018,F,17.0,Rural,LE3,Together,0,2,At_home,Health,No,No,49794.0,2,2.79,2.2
29/04/2018,M,19.0,Rural,GT3,Together,2,2,Services,Health,No,No,35947.0,2,3.44,2.99
29/04/2018,M,18.0,Rural,GT3,Together,0,1,Other,Health,No,No,37565.0,1,3.35,2.75
29/04/2018,M,18.0,Rural,GT3,Together,0,0,Health,Farmer,No,No,40844.0,3,4.29,3.4
29/04/2018,M,19.0,Rural,LE3,Apart,0,2,At_home,Teacher,No,No,25594.0,2,3.86,3.37
29/04/2018,F,17.0,Rural,GT3,Together,3,3,Teacher,Business,Yes,No,61414.0,3,2.81,2.32
29/04/2018,F,17.0,Rural,GT3,Together,0,0,Other,Farmer,No,No,55690.0,5,4.09,3.12
29/04/2018,F,18.0,Rural,GT3,Together,3,4,At_home,Services,No,No,56524.0,1,2.45,2.16
29/04/2018,M,18.0,Rural,GT3,Together,1,4,At_home,Services,No,No,57469.0,3,3.07,2.54
29/04/2018,M,17.0,Rural,LE3,Together,3,2,Health,Farmer,No,No,59439.0,2,3.81,3.31
29/04/2018,F,19.0,Rural,GT3,Apart,3,4,Services,Farmer,Yes,No,66206.0,5,3.39,2.91
29/04/2018,F,18.0,Urban,GT3,Together,4,1,Services,Teacher,No,No,121973.0,4,4.57,3.97
29/04/2018,F,17.0,Rural,GT3,Together,3,0,Services,Services,No,No,61555.0,5,3.91,3.18
29/04/2018,F,18.0,Urban,GT3,Together,4,0,Teacher,Business,No,No,92782.0,2,4.21,3.67
29/04/2018,M,19.0,Rural,GT3,Together,3,2,At_home,Health,No,No,42660.0,2,4.23,3.82
29/04/2018,M,17.0,Rural,LE3,Together,2,0,Teacher,Health,No,No,74624.0,4,3.51,2.84
29/04/2018,M,18.0,Urban,LE3,Together,1,4,At_home,Teacher,No,No,76089.0,5,3.11,2.59
29/04/2018,M,19.0,Rural,GT3,Together,1,1,Health,Teacher,No,No,35318.0,3,3.77,3.25
29/04/2018,M,18.0,Rural,GT3,Together,1,2,Health,Services,No,No,56605.0,3,4.36,3.55
29/04/2018,M,19.0,,LE3,Together,2,4,Teacher,Business,Yes,No,104400.0,5,3.65,2.99
29/04/2018,F,19.0,Rural,GT3,Together,2,1,Teacher,Business,No,Yes,50405.0,3,4.18,3.33
29/04/2018,M,17.0,Rural,GT3,Together,3,1,Health,Farmer,No,No,70209.0,5,3.78,3.08
29/04/2018,M,19.0,Rural,LE3,Together,4,3,Other,Teacher,No,No,53062.0,5,2.79,2.32
29/04/2018,F,18.0,Rural,LE3,Apart,2,1,Services,Health,No,No,52424.0,2,2.85,2.34
29/04/2018,M,19.0,Urban,LE3,Together,2,1,Services,Health,No,No,116274.0,1,4.82,4.52
29/04/2018,M,19.0,Urban,LE3,Together,4,1,Health,Services,No,No,108987.0,2,3.04,2.79
29/04/2018,F,17.0,Rural,LE3,Together,1,2,Services,Health,No,No,74419.0,3,3.39,2.95
29/04/2018,M,19.0,Rural,GT3,Together,3,4,Other,Business,No,No,60556.0,1,4.4,4.01
29/04/2018,M,19.0,Rural,GT3,Together,1,4,Other,Business,No,Yes,57601.0,5,3.02,2.32
29/04/2018,M,18.0,Urban,GT3,Together,2,1,At_home,Teacher,No,No,94330.0,3,3.36,2.76
29/04/2018,M,17.0,Rural,GT3,Together,1,2,Teacher,Services,No,No,45730.0,4,3.66,3.11
29/04/2018,F,17.0,Urban,GT3,Together,3,2,Services,Health,Yes,No,83236.0,3,3.58,3.03
29/04/2018,F,17.0,Urban,GT3,Together,2,4,Other,Teacher,No,No,78680.0,1,3.17,3.02
29/04/2018,F,19.0,Rural,GT3,Apart,1,1,Teacher,Farmer,No,No,60312.0,1,3.67,3.18
29/04/2018,F,17.0,Rural,GT3,Together,1,2,Teacher,Farmer,No,No,51191.0,5,4.24,3.4
29/04/2018,F,19.0,Rural,GT3,Together,2,3,At_home,Health,No,Yes,79066.0,4,3.72,2.89
29/04/2018,M,19.0,Rural,GT3,Together,4,4,Teacher,Health,No,No,62921.0,5,3.37,2.99
29/04/2018,F,18.0,Rural,GT3,Together,3,1,Teacher,Health,No,No,76640.0,4,4.41,3.66
29/04/2018,M,18.0,Rural,LE3,Together,2,1,Health,Business,No,No,69635.0,4,4.91,4.15
29/04/2018,F,18.0,Rural,GT3,Together,1,1,At_home,Health,Yes,No,66688.0,5,4.42,3.48
29/04/2018,F,18.0,Rural,GT3,Apart,2,0,At_home,Farmer,No,No,40693.0,3,3.07,2.68
